season,games,model_logloss,model_brier,model_auc,model_accuracy,elo_logloss,elo_brier,elo_auc,elo_accuracy,home_pick_acc
2008,266,0.6348967460512197,0.22255800877310208,0.6731356176216527,0.6240601503759399,0.6272609933022316,0.2185311343048658,0.6874172185430463,0.650375939849624,0.5676691729323309
2009,267,0.6007406768356108,0.2064848028486814,0.7340901272789817,0.704119850187266,0.5985290609684621,0.2058654509995418,0.7327141382868937,0.6816479400749064,0.5730337078651685
2010,267,0.6592271999529311,0.23318233412108694,0.6431410401998638,0.6441947565543071,0.6561630283363047,0.23232445330850657,0.6417215534862594,0.6217228464419475,0.5543071161048689
2011,267,0.6055949007081306,0.20910579809658827,0.7289301685586517,0.6779026217228464,0.6133688127773876,0.21341338312807537,0.7085769980506822,0.6591760299625468,0.5730337078651685
2012,266,0.6297779106254694,0.2203630736089405,0.6861149584487534,0.6240601503759399,0.6269645402202765,0.219665833254252,0.6879616805170822,0.6353383458646616,0.5714285714285714
2013,266,0.634439972273653,0.22235896612130726,0.6576735437606537,0.6240601503759399,0.6208759694557017,0.21689042256990046,0.6811849761946747,0.6466165413533834,0.5977443609022557
2014,266,0.6065797111264227,0.20921948273791127,0.7306379779050263,0.6691729323308271,0.6002916161192314,0.20665102876034386,0.7375788073341432,0.6992481203007519,0.575187969924812
2015,267,0.6497826080569664,0.22894861357149016,0.6590729225551158,0.6479400749063671,0.6417087169725602,0.22422524111404646,0.68208027133974,0.6741573033707865,0.5430711610486891
2016,265,0.6265672698487756,0.21870397586060217,0.6889736070381232,0.6264150943396226,0.6260753536478836,0.2190057587095496,0.6855718475073314,0.6452830188679245,0.5849056603773585
2017,267,0.6149997138500949,0.21292588724701486,0.7123569794050343,0.6629213483146067,0.6218187966677076,0.21681030431148143,0.6929633867276888,0.6741573033707865,0.5692883895131086
2018,265,0.6261405075482454,0.21820020971046636,0.6798769667573643,0.6452830188679245,0.6358067652504077,0.2235381612062265,0.6598840648290549,0.6226415094339622,0.5962264150943396
2019,266,0.6368748089174279,0.22305469314746815,0.6931966238033196,0.6278195488721805,0.6369358317935458,0.22252747334088235,0.6864555599614797,0.6390977443609023,0.5225563909774437
2020,268,0.6267291778585292,0.2184751248926396,0.7259411895745156,0.6380597014925373,0.6236550883518707,0.21566937483515433,0.7295611494764982,0.6492537313432836,0.5
2021,284,0.643715763581288,0.22668103557311725,0.6954168528725359,0.6232394366197183,0.6560382387147699,0.23106698668795544,0.6842445007199961,0.6056338028169014,0.5176056338028169
2022,282,0.6279864369251484,0.21903154643752096,0.6953381147540983,0.6276595744680851,0.635180477143622,0.22300633036611228,0.6763831967213115,0.6453900709219859,0.5673758865248227
2023,285,0.6571271266324624,0.23220388353022398,0.6458625525946704,0.6175438596491228,0.6588518991075564,0.2326119802345395,0.6427068723702666,0.6035087719298246,0.5649122807017544
2024,285,0.6130940147778133,0.21178241434362963,0.723613595706619,0.6877192982456141,0.6092524211449736,0.21041443044662317,0.7329556748161399,0.6701754385964912,0.5473684210526316
2025,284,0.6206792706448891,0.21611404908620707,0.7121710526315789,0.6654929577464789,0.6368624821822952,0.22312474389161824,0.6912878787878787,0.6443661971830986,0.5352112676056338
ALL,4883,0.6286811194111414,0.21944297086809295,0.6936713776625681,0.6465287732951055,0.6293807830601017,0.21981642241097318,0.6911045393073924,0.6479623182469794,0.5586729469588367
