game_id,season,week,week_label,season_type,kickoff_ts,neutral,home_team,away_team,home_score,away_score,home_win,completed,diff_off_points_r3,diff_off_points_r8,diff_off_points_ewm,diff_off_yards_r3,diff_off_yards_r8,diff_off_yards_ewm,diff_off_plays_r3,diff_off_plays_r8,diff_off_plays_ewm,diff_off_ypp_r3,diff_off_ypp_r8,diff_off_ypp_ewm,diff_off_first_downs_r3,diff_off_first_downs_r8,diff_off_first_downs_ewm,diff_off_ny_a_r3,diff_off_ny_a_r8,diff_off_ny_a_ewm,diff_off_comp_pct_r3,diff_off_comp_pct_r8,diff_off_comp_pct_ewm,diff_off_sack_rate_r3,diff_off_sack_rate_r8,diff_off_sack_rate_ewm,diff_off_rush_ypc_r3,diff_off_rush_ypc_r8,diff_off_rush_ypc_ewm,diff_off_pass_rate_r3,diff_off_pass_rate_r8,diff_off_pass_rate_ewm,diff_off_third_pct_r3,diff_off_third_pct_r8,diff_off_third_pct_ewm,diff_off_turnovers_r3,diff_off_turnovers_r8,diff_off_turnovers_ewm,diff_off_pts_per_drive_r3,diff_off_pts_per_drive_r8,diff_off_pts_per_drive_ewm,diff_off_yds_per_drive_r3,diff_off_yds_per_drive_r8,diff_off_yds_per_drive_ewm,diff_off_pen_yards_r3,diff_off_pen_yards_r8,diff_off_pen_yards_ewm,diff_off_top_sec_r3,diff_off_top_sec_r8,diff_off_top_sec_ewm,diff_def_points_r3,diff_def_points_r8,diff_def_points_ewm,diff_def_yards_r3,diff_def_yards_r8,diff_def_yards_ewm,diff_def_plays_r3,diff_def_plays_r8,diff_def_plays_ewm,diff_def_ypp_r3,diff_def_ypp_r8,diff_def_ypp_ewm,diff_def_first_downs_r3,diff_def_first_downs_r8,diff_def_first_downs_ewm,diff_def_ny_a_r3,diff_def_ny_a_r8,diff_def_ny_a_ewm,diff_def_comp_pct_r3,diff_def_comp_pct_r8,diff_def_comp_pct_ewm,diff_def_sack_rate_r3,diff_def_sack_rate_r8,diff_def_sack_rate_ewm,diff_def_rush_ypc_r3,diff_def_rush_ypc_r8,diff_def_rush_ypc_ewm,diff_def_pass_rate_r3,diff_def_pass_rate_r8,diff_def_pass_rate_ewm,diff_def_third_pct_r3,diff_def_third_pct_r8,diff_def_third_pct_ewm,diff_def_turnovers_r3,diff_def_turnovers_r8,diff_def_turnovers_ewm,diff_def_pts_per_drive_r3,diff_def_pts_per_drive_r8,diff_def_pts_per_drive_ewm,diff_def_yds_per_drive_r3,diff_def_yds_per_drive_r8,diff_def_yds_per_drive_ewm,diff_def_pen_yards_r3,diff_def_pen_yards_r8,diff_def_pen_yards_ewm,diff_def_top_sec_r3,diff_def_top_sec_r8,diff_def_top_sec_ewm,diff_margin_r3,diff_margin_r8,diff_margin_ewm,diff_team_win_r3,diff_team_win_r8,diff_team_win_ewm,diff_games_played,diff_rest_days,match_home_off_ypp,match_away_off_ypp,match_home_off_ny_a,match_away_off_ny_a,match_home_off_rush_ypc,match_away_off_rush_ypc,match_home_off_pts_per_drive,match_away_off_pts_per_drive,match_home_off_turnovers,match_away_off_turnovers,elo_home_pre,elo_away_pre,elo_prob_home,home_field,elo_diff,is_postseason,early_season
2002_01_Vikings_Bears,2002,1,1,REG,2002-09-08 13:00:00,False,Bears,Vikings,27,23,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1500.0,1500.0,0.5686413918836677,1,0.0,0,1
2002_01_Rams_Broncos,2002,1,1,REG,2002-09-08 16:15:00,False,Broncos,Rams,23,16,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1500.0,1500.0,0.5686413918836677,1,0.0,0,1
2002_01_Saints_Buccaneers,2002,1,1,REG,2002-09-08 16:15:00,False,Buccaneers,Saints,20,26,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1500.0,1500.0,0.5686413918836677,1,0.0,0,1
2002_01_Seahawks_Raiders,2002,1,1,REG,2002-09-08 16:15:00,False,Raiders,Seahawks,31,17,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1500.0,1500.0,0.5686413918836677,1,0.0,0,1
2002_01_Cowboys_Texans,2002,1,1,REG,2002-09-08 20:30:00,False,Texans,Cowboys,19,10,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1500.0,1500.0,0.5686413918836677,1,0.0,0,1
2002_01_Steelers_Patriots,2002,1,1,REG,2002-09-09 21:00:00,False,Patriots,Steelers,30,14,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1500.0,1500.0,0.5686413918836677,1,0.0,0,1
2002_02_Bears_Falcons,2002,2,2,REG,2002-09-15 13:00:00,False,Falcons,Bears,13,14,0.0,True,7.0,7.0,7.0,6.0,6.0,6.0,-3.0,-3.0,-3.0,0.42807017543859605,0.42807017543859605,0.42807017543859605,2.0,2.0,2.0,-1.2854030501089326,-1.2854030501089326,-1.2854030501089326,0.04611330698287219,0.04611330698287219,0.04611330698287219,0.11873638344226578,0.11873638344226578,0.11873638344226578,2.923076923076923,2.923076923076923,2.923076923076923,-0.09298245614035089,-0.09298245614035089,-0.09298245614035089,-0.038461538461538436,-0.038461538461538436,-0.038461538461538436,-1.0,-1.0,-1.0,0.6784313725490196,0.6784313725490196,0.6784313725490196,3.2862745098039206,3.2862745098039206,3.2862745098039206,49.0,49.0,49.0,146.0,146.0,146.0,14.0,14.0,14.0,86.0,86.0,86.0,9.0,9.0,9.0,0.45888232621535696,0.45888232621535696,0.45888232621535696,10.0,10.0,10.0,-0.6778584392014517,-0.6778584392014517,-0.6778584392014517,0.12301587301587302,0.12301587301587302,0.12301587301587302,0.018148820326678763,0.018148820326678763,0.018148820326678763,1.2424242424242422,1.2424242424242422,1.2424242424242422,0.06746933212176282,0.06746933212176282,0.06746933212176282,0.1487179487179487,0.1487179487179487,0.1487179487179487,-2.0,-2.0,-2.0,0.8235294117647056,0.8235294117647056,0.8235294117647056,5.0588235294117645,5.0588235294117645,5.0588235294117645,-37.0,-37.0,-37.0,439.0,439.0,439.0,-7.0,-7.0,-7.0,-1.0,-1.0,-1.0,0.0,0.0,0.6259196378041878,-0.2610328638497652,-0.676883780332056,1.2863777089783284,1.7575757575757578,-2.4079254079254073,0.9137254901960783,-0.588235294117647,-2.0,1.0,1488.2955692765584,1513.5884232657108,0.5326317613962643,1,-25.29285398915249,0,1
2002_02_Bengals_Browns,2002,2,2,REG,2002-09-15 13:00:00,False,Browns,Bengals,20,7,1.0,True,33.0,33.0,33.0,208.0,208.0,208.0,13.0,13.0,13.0,2.5085382513661196,2.5085382513661196,2.5085382513661196,11.0,11.0,11.0,3.8139372822299658,3.8139372822299658,3.8139372822299658,0.11935483870967734,0.11935483870967734,0.11935483870967734,-0.08989547038327525,-0.08989547038327525,-0.08989547038327525,0.18076923076923102,0.18076923076923102,0.18076923076923102,-0.057035519125683054,-0.057035519125683054,-0.057035519125683054,0.0,0.0,0.0,0.0,0.0,0.0,1.8941176470588235,1.8941176470588235,1.8941176470588235,10.64313725490196,10.64313725490196,10.64313725490196,-19.0,-19.0,-19.0,452.0,452.0,452.0,6.0,6.0,6.0,69.0,69.0,69.0,-6.0,-6.0,-6.0,1.7968709256844848,1.7968709256844848,1.7968709256844848,-3.0,-3.0,-3.0,1.5172413793103452,1.5172413793103452,1.5172413793103452,-0.09981851179673318,-0.09981851179673318,-0.09981851179673318,-0.05,-0.05,-0.05,1.1111111111111116,1.1111111111111116,1.1111111111111116,0.18383311603650587,0.18383311603650587,0.18383311603650587,-0.14545454545454545,-0.14545454545454545,-0.14545454545454545,1.0,1.0,1.0,-1.0909090909090908,-1.0909090909090908,-1.0909090909090908,-12.954545454545453,-12.954545454545453,-12.954545454545453,48.0,48.0,48.0,-452.0,-452.0,-452.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.5684741488020171,-3.7369350282485874,0.5853658536585371,-4.745812807881774,-2.405555555555555,-3.6974358974358976,-0.7967914438502675,-1.6,1.0,0.0,1491.94112648165,1460.8501456057186,0.6118948827544779,1,31.090980875931336,0,1
2002_02_Buccaneers_Ravens,2002,2,2,REG,2002-09-15 13:00:00,False,Ravens,Buccaneers,0,25,0.0,True,-13.0,-13.0,-13.0,-44.0,-44.0,-44.0,-22.0,-22.0,-22.0,0.92987012987013,0.92987012987013,0.92987012987013,-4.0,-4.0,-4.0,1.2281746031746037,1.2281746031746037,1.2281746031746037,0.059933407325194255,0.059933407325194255,0.059933407325194255,0.001984126984126984,0.001984126984126984,0.001984126984126984,0.6240601503759398,0.6240601503759398,0.6240601503759398,-0.07272727272727275,-0.07272727272727275,-0.07272727272727275,-0.011278195488721776,-0.011278195488721776,-0.011278195488721776,0.0,0.0,0.0,-4.461538461538462,-4.461538461538462,-4.461538461538462,-61.019230769230774,-61.019230769230774,-61.019230769230774,-40.0,-40.0,-40.0,-320.0,-320.0,-320.0,-16.0,-16.0,-16.0,-103.0,-103.0,-103.0,-21.0,-21.0,-21.0,-0.0688259109311744,-0.0688259109311744,-0.0688259109311744,-6.0,-6.0,-6.0,0.032467532467532756,0.032467532467532756,0.032467532467532756,0.06015037593984962,0.06015037593984962,0.06015037593984962,0.04978354978354978,0.04978354978354978,0.04978354978354978,0.5571895424836599,0.5571895424836599,0.5571895424836599,-0.19568151147098517,-0.19568151147098517,-0.19568151147098517,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-1.0,-1.0,-1.0,-5.666666666666667,-5.666666666666667,-5.666666666666667,-69.91666666666667,-69.91666666666667,-69.91666666666667,-10.0,-10.0,-10.0,-410.0,-410.0,-410.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5365967365967368,-0.32444748234221876,0.20707070707070763,-1.0535714285714288,0.5820433436532504,-0.5992063492063493,-5.961538461538462,4.166666666666667,0.0,1.0,1488.2955692765584,1477.3758817620203,0.5839886454380018,1,10.919687514538055,0,1
2002_02_Dolphins_Colts,2002,2,2,REG,2002-09-15 13:00:00,False,Colts,Dolphins,13,21,0.0,True,-21.0,-21.0,-21.0,-82.0,-82.0,-82.0,-8.0,-8.0,-8.0,-0.6039215686274515,-0.6039215686274515,-0.6039215686274515,-9.0,-9.0,-9.0,-1.322916666666667,-1.322916666666667,-1.322916666666667,-0.053763440860215006,-0.053763440860215006,-0.053763440860215006,0.03125,0.03125,0.03125,-0.7247386759581884,-0.7247386759581884,-0.7247386759581884,0.13627450980392158,0.13627450980392158,0.13627450980392158,0.1428571428571429,0.1428571428571429,0.1428571428571429,2.0,2.0,2.0,-1.4154411764705883,-1.4154411764705883,-1.4154411764705883,-6.2536764705882355,-6.2536764705882355,-6.2536764705882355,-40.0,-40.0,-40.0,-417.0,-417.0,-417.0,4.0,4.0,4.0,86.0,86.0,86.0,11.0,11.0,11.0,0.5399800099950021,0.5399800099950021,0.5399800099950021,4.0,4.0,4.0,0.7990297990297988,0.7990297990297988,0.7990297990297988,0.13888888888888895,0.13888888888888895,0.13888888888888895,-0.0498960498960499,-0.0498960498960499,-0.0498960498960499,1.0032894736842106,1.0032894736842106,1.0032894736842106,-0.13618190904547722,-0.13618190904547722,-0.13618190904547722,0.0,0.0,0.0,0.0,0.0,0.0,0.39583333333333326,0.39583333333333326,0.39583333333333326,7.159722222222221,7.159722222222221,7.159722222222221,-28.0,-28.0,-28.0,417.0,417.0,417.0,-25.0,-25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.6856321839080453,0.7495737425404947,1.061698717948718,1.5855855855855863,1.030075187969925,0.7515243902439028,0.48039215686274495,1.5,0.0,-2.0,1516.1177470367002,1528.4299510066332,0.5511789980529519,1,-12.31220396993308,0,1
